Year,Nominal GDP,PSND,PSNB,Debt Interest,Debt-to-GDP Ratio (%),Primary Balance,Primary Balance-to-GDP Ratio (%),debt_ratio,pb_ratio,debt_ratio_lagged,g,r,Primary Balance Effect,Snowball Effect,Debt Ratio Change,Stock-Flow Adjustment
2018,2152.3,1757300.0,58916.0,42094.0,81.64753984110021,16822.0,0.7815824931468661,0.8164753984110021,0.007815824931468662,0.824969987995198,0.03351740696278527,0.02450174621653085,-0.7815824931468661,-0.7196443414981687,-0.8494589584195911,0.6517678762254439
2019,2233.9,1776900.0,44267.0,36845.0,79.5425041407404,7422.0,0.3322440574779534,0.795425041407404,0.0033224405747795337,0.8164753984110021,0.037912930353575236,0.020966824105161326,-0.3322440574779534,-1.3330673938107238,-2.105035700359814,-0.439724249071137
2020,2103.5,1815000.0,61453.0,25132.0,86.28476348942239,36321.0,1.726693605894937,0.8628476348942239,0.01726693605894937,0.795425041407404,-0.05837324857871884,0.014143733468400022,-1.726693605894937,6.125763033017613,6.742259348681989,2.343189921559314
2021,2285.4,2152900.0,312942.0,47552.0,94.20232782007524,265390.0,11.61240920626586,0.9420232782007524,0.11612409206265861,0.8628476348942239,0.08647492274780122,0.026199449035812672,-11.61240920626586,-4.786907534228548,7.917564330652849,24.316881071147257
2022,2526.4,2381900.0,121091.0,114670.0,94.28039898670043,6421.0,0.2541561114629512,0.9428039898670043,0.002541561114629512,0.9420232782007524,0.10545199964995189,0.05326304054995587,-0.2541561114629512,-4.447340486319719,0.0780711666251932,4.779567764407864
2023,2717.3,2530400.0,139213.0,111300.0,93.12184889412283,27913.0,1.027232915025945,0.9312184889412284,0.01027232915025945,0.9428039898670043,0.07556206459784676,0.04672740249380746,-1.027232915025945,-2.5275560911791555,-1.1585500925775927,2.3962389136275073
2024,2848.0,2719839.9999999995,137300.0,87500.0,95.5,49800.0,1.7485955056179776,0.955,0.017485955056179777,0.9312184889412284,0.04809921613366197,0.03457951312045526,-1.7485955056179776,-1.2012028267071018,2.3781511058771576,5.327949438202237
2025,2967.6,2845928.4000000004,117700.0,101500.0,95.9,16200.0,0.5458956732713304,0.9590000000000001,0.005458956732713304,0.955,0.041994382022471965,0.037318371668921706,-0.5458956732713304,-0.42856180078178113,0.40000000000001146,1.374457474053123
2026,3073.4,2922803.4,97200.0,104800.0,95.1,-7600.0,-0.2472831391943775,0.951,-0.002472831391943775,0.9590000000000001,0.03565170508154747,0.03682453852317577,0.24728313919437753,0.10860285026354284,-0.8000000000000118,-1.155885989457932
2027,3190.2,3056211.6,80200.0,113400.0,95.8,-33200.0,-1.0406871042567865,0.958,-0.010406871042567864,0.951,0.03800351402355684,0.0387983673482794,1.0406871042567865,0.07282302050029468,0.7000000000000006,-0.41351012475708043
2028,3309.2,3180141.2,77400.0,121100.0,96.1,-43700.0,-1.3205608606309682,0.961,-0.013205608606309682,0.958,0.03730173656824021,0.03962421973661771,1.3205608606309682,0.21449292880454757,0.30000000000000027,-1.2350537894355154
2029,3432.5,3305497.5,74000.0,129300.0,96.3,-55300.0,-1.6110706482155863,0.963,-0.016110706482155863,0.961,0.03725976066723091,0.04065857201560735,1.6110706482155863,0.31489293517842587,0.20000000000000018,-1.7259635833940121
